RecordTypeId,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Website,ParentId
012ak00000AvEuvAAF,Onco Global Gurgaon — Cyber City,Hospital,Tower B Cyber City,Gurgaon,Haryana,122002,India,Tower B Cyber City,Gurgaon,Haryana,122002,India,01244567891,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Gurgaon — Sohna Road,Hospital,Plot 42 Sohna Road,Gurgaon,Haryana,122103,India,Plot 42 Sohna Road,Gurgaon,Haryana,122103,India,01244567892,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Delhi — Rohini,Hospital,Sector 11 Rohini,Delhi,Delhi,110085,India,Sector 11 Rohini,Delhi,Delhi,110085,India,01144567891,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Delhi — Dwarka,Hospital,Sector 6 Dwarka,Delhi,Delhi,110075,India,Sector 6 Dwarka,Delhi,Delhi,110075,India,01144567892,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Jaipur — C-Scheme,Hospital,Mirza Ismail Road C-Scheme,Jaipur,Rajasthan,302001,India,Mirza Ismail Road C-Scheme,Jaipur,Rajasthan,302001,India,01414567891,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Jaipur — Raja Park,Hospital,Near Gandhi Nagar,Jaipur,Rajasthan,302004,India,Near Gandhi Nagar,Jaipur,Rajasthan,302004,India,01414567892,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Mumbai — Bandra,Hospital,Hill Road Bandra West,Mumbai,Maharashtra,400050,India,Hill Road Bandra West,Mumbai,Maharashtra,400050,India,02244567891,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Mumbai — Powai,Hospital,Hiranandani Gardens Powai,Mumbai,Maharashtra,400076,India,Hiranandani Gardens Powai,Mumbai,Maharashtra,400076,India,02244567892,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Bengaluru — Jayanagar,Hospital,4th Block Jayanagar,Bengaluru,Karnataka,560011,India,4th Block Jayanagar,Bengaluru,Karnataka,560011,India,08044567891,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Bengaluru — Marathahalli,Hospital,Outer Ring Road Marathahalli,Bengaluru,Karnataka,560037,India,Outer Ring Road Marathahalli,Bengaluru,Karnataka,560037,India,08044567892,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Chennai — Adyar,Hospital,L.B. Road Adyar,Chennai,Tamil Nadu,600020,India,L.B. Road Adyar,Chennai,Tamil Nadu,600020,India,04444567891,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Chennai — Velachery,Hospital,100 Feet Road Velachery,Chennai,Tamil Nadu,600042,India,100 Feet Road Velachery,Chennai,Tamil Nadu,600042,India,04444567892,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Hyderabad — Secunderabad,Hospital,MG Road Secunderabad,Hyderabad,Telangana,500003,India,MG Road Secunderabad,Hyderabad,Telangana,500003,India,04044567891,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Hyderabad — Gachibowli,Hospital,Financial District Gachibowli,Hyderabad,Telangana,500032,India,Financial District Gachibowli,Hyderabad,Telangana,500032,India,04044567892,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Kolkata — Salt Lake,Hospital,Sector III Salt Lake,Kolkata,West Bengal,700091,India,Sector III Salt Lake,Kolkata,West Bengal,700091,India,03344567891,www.oncoglobal.in,001ak0000284x48AAA
012ak00000AvEuvAAF,Onco Global Kolkata — New Town,Hospital,Action Area I New Town,Kolkata,West Bengal,700156,India,Action Area I New Town,Kolkata,West Bengal,700156,India,03344567892,www.oncoglobal.in,001ak0000284x48AAA
