Daily_Rate__c,Effective_From__c,Healthcare_Facility__c,Room_Type__c
7000,2026-01-01,0klak0000000DbZAAU,General
12000,2026-01-01,0klak0000000DbZAAU,Private
22000,2026-01-01,0klak0000000DbZAAU,ICU
7000,2026-01-01,0klak0000000DbaAAE,General
12000,2026-01-01,0klak0000000DbaAAE,Private
22000,2026-01-01,0klak0000000DbaAAE,ICU
5000,2026-01-01,0klak0000000DbbAAE,General
18000,2026-01-01,0klak0000000DbbAAE,ICU
8000,2026-01-01,0klak0000000DbcAAE,General
15000,2026-01-01,0klak0000000DbcAAE,Private
25000,2026-01-01,0klak0000000DbcAAE,ICU
7500,2026-01-01,0klak0000000DbdAAE,General
14000,2026-01-01,0klak0000000DbdAAE,Private
24000,2026-01-01,0klak0000000DbdAAE,ICU
7200,2026-01-01,0klak0000000DbeAAE,General
13500,2026-01-01,0klak0000000DbeAAE,Private
23000,2026-01-01,0klak0000000DbeAAE,ICU
6500,2026-01-01,0klak0000000DbfAAE,General
11000,2026-01-01,0klak0000000DbfAAE,Private
20000,2026-01-01,0klak0000000DbfAAE,ICU
6800,2026-01-01,0klak0000000DbgAAE,General
11500,2026-01-01,0klak0000000DbgAAE,Private
21000,2026-01-01,0klak0000000DbgAAE,ICU
10500,2026-01-01,0klak0000000IGHAA2,Private
10500,2026-01-01,0klak0000000IGIAA2,Private
10200,2026-01-01,0klak0000000IGJAA2,Private
10200,2026-01-01,0klak0000000IGKAA2,Private
9000,2026-01-01,0klak0000000IGLAA2,Private
9000,2026-01-01,0klak0000000IGMAA2,Private
12800,2026-01-01,0klak0000000IGNAA2,Private
12800,2026-01-01,0klak0000000IGOAA2,Private
12000,2026-01-01,0klak0000000IGPAA2,Private
12000,2026-01-01,0klak0000000IGQAA2,Private
11500,2026-01-01,0klak0000000IGRAA2,Private
11500,2026-01-01,0klak0000000IGSAA2,Private
9500,2026-01-01,0klak0000000IGTAA2,Private
9500,2026-01-01,0klak0000000IGUAA2,Private
10000,2026-01-01,0klak0000000IGVAA2,Private
10000,2026-01-01,0klak0000000IGWAA2,Private
