Name,AccountId,LocationId,Max_Daily_Appointments__c,LicensedBedCount
Onco Global Gurgaon Cyber City Outpatient,001ak00002SinwjAAB,131ak000000k5JFAAY,120,60
Onco Global Gurgaon Sohna Road Outpatient,001ak00002SinwkAAB,131ak000000k5JGAAY,110,55
Onco Global Delhi Rohini Outpatient,001ak00002SinwlAAB,131ak000000k5JHAAY,130,65
Onco Global Delhi Dwarka Outpatient,001ak00002SinwmAAB,131ak000000k5JIAAY,125,62
Onco Global Jaipur C-Scheme Outpatient,001ak00002SinwnAAB,131ak000000k5JJAAY,100,48
Onco Global Jaipur Raja Park Outpatient,001ak00002SinwoAAB,131ak000000k5JKAAY,95,45
Onco Global Mumbai Bandra Outpatient,001ak00002SinwpAAB,131ak000000k5JLAAY,140,70
Onco Global Mumbai Powai Outpatient,001ak00002SinwqAAB,131ak000000k5JMAAY,135,68
Onco Global Bengaluru Jayanagar Outpatient,001ak00002SinwrAAB,131ak000000k5JNAAY,115,58
Onco Global Bengaluru Marathahalli Outpatient,001ak00002SinwsAAB,131ak000000k5JOAAY,118,59
Onco Global Chennai Adyar Outpatient,001ak00002SinwtAAB,131ak000000k5JPAAY,105,52
Onco Global Chennai Velachery Outpatient,001ak00002SinwuAAB,131ak000000k5JQAAY,108,54
Onco Global Hyderabad Secunderabad Outpatient,001ak00002SinwvAAB,131ak000000k5JRAAY,112,56
Onco Global Hyderabad Gachibowli Outpatient,001ak00002SinwwAAB,131ak000000k5JSAAY,115,58
Onco Global Kolkata Salt Lake Outpatient,001ak00002SinwxAAB,131ak000000k5JTAAY,90,44
Onco Global Kolkata New Town Outpatient,001ak00002SinwyAAB,131ak000000k5JUAAY,88,42
