Name,Latitude,Longitude,LocationType,TimeZone
Onco Global — Gurgaon Cyber City,28.4945,77.0884,Warehouse,Asia/Kolkata
Onco Global — Gurgaon Sohna Road,28.3922,77.0658,Warehouse,Asia/Kolkata
Onco Global — Delhi Rohini,28.7497,77.1189,Warehouse,Asia/Kolkata
Onco Global — Delhi Dwarka,28.5921,77.0464,Warehouse,Asia/Kolkata
Onco Global — Jaipur C-Scheme,26.9119,75.8068,Warehouse,Asia/Kolkata
Onco Global — Jaipur Raja Park,26.9249,75.7938,Warehouse,Asia/Kolkata
Onco Global — Mumbai Bandra,19.0544,72.8406,Warehouse,Asia/Kolkata
Onco Global — Mumbai Powai,19.1176,72.909,Warehouse,Asia/Kolkata
Onco Global — Bengaluru Jayanagar,12.925,77.5938,Warehouse,Asia/Kolkata
Onco Global — Bengaluru Marathahalli,12.9592,77.6984,Warehouse,Asia/Kolkata
Onco Global — Chennai Adyar,13.0067,80.2536,Warehouse,Asia/Kolkata
Onco Global — Chennai Velachery,12.9815,80.2209,Warehouse,Asia/Kolkata
Onco Global — Hyderabad Secunderabad,17.4399,78.4983,Warehouse,Asia/Kolkata
Onco Global — Hyderabad Gachibowli,17.4401,78.3489,Warehouse,Asia/Kolkata
Onco Global — Kolkata Salt Lake,22.5826,88.4166,Warehouse,Asia/Kolkata
Onco Global — Kolkata New Town,22.5769,88.4784,Warehouse,Asia/Kolkata
