Id,SchedStartTime,SchedEndTime,Status,Duration,DurationType
08pak000000KbUrAAK,2026-05-06T04:30:00.000Z,2026-05-06T05:00:00.000Z,Scheduled,0.5,Hours
08pak000000KbUsAAK,2026-05-07T05:30:00.000Z,2026-05-07T06:00:00.000Z,Scheduled,0.5,Hours
08pak000000KbUtAAK,2026-05-08T08:30:00.000Z,2026-05-08T09:00:00.000Z,Scheduled,0.5,Hours
08pak000000KbUuAAK,2026-05-09T10:30:00.000Z,2026-05-09T11:00:00.000Z,Scheduled,0.5,Hours
08pak000000KbUvAAK,2026-05-10T04:00:00.000Z,2026-05-10T04:30:00.000Z,Scheduled,0.5,Hours
08pak000000KbUwAAK,2026-05-12T07:30:00.000Z,2026-05-12T08:00:00.000Z,Scheduled,0.5,Hours
08pak000000KbUxAAK,2026-05-13T09:30:00.000Z,2026-05-13T10:00:00.000Z,Scheduled,0.5,Hours
08pak000000KbUyAAK,2026-05-14T05:00:00.000Z,2026-05-14T05:30:00.000Z,Scheduled,0.5,Hours
08pak000000L06fAAC,2026-05-15T04:30:00.000Z,2026-05-15T05:30:00.000Z,Scheduled,1,Hours
08pak000000L1IrAAK,2026-05-16T03:00:00.000Z,2026-05-16T03:30:00.000Z,Scheduled,0.5,Hours
08pak000000LW4vAAG,2026-05-20T04:30:00.000Z,2026-05-20T05:00:00.000Z,Scheduled,0.5,Hours
