OperatingHoursId,DayOfWeek,StartTime,EndTime,Type
0OHak000003ygVkGAI,Monday,09:00:00,13:00:00,Normal
0OHak000003ygVkGAI,Monday,14:00:00,18:00:00,Normal
0OHak000003ygVkGAI,Tuesday,09:00:00,13:00:00,Normal
0OHak000003ygVkGAI,Tuesday,14:00:00,18:00:00,Normal
0OHak000003ygVkGAI,Wednesday,09:00:00,13:00:00,Normal
0OHak000003ygVkGAI,Wednesday,14:00:00,18:00:00,Normal
0OHak000003ygVkGAI,Thursday,09:00:00,13:00:00,Normal
0OHak000003ygVkGAI,Thursday,14:00:00,18:00:00,Normal
0OHak000003ygVkGAI,Friday,09:00:00,13:00:00,Normal
0OHak000003ygVkGAI,Friday,14:00:00,18:00:00,Normal
0OHak000003ygVkGAI,Saturday,09:00:00,13:00:00,Normal
0OHak000003ygVlGAI,Monday,09:00:00,18:00:00,Normal
0OHak000003ygVlGAI,Tuesday,09:00:00,18:00:00,Normal
0OHak000003ygVlGAI,Wednesday,09:00:00,18:00:00,Normal
0OHak000003ygVlGAI,Thursday,09:00:00,18:00:00,Normal
0OHak000003ygVlGAI,Friday,09:00:00,18:00:00,Normal
0OHak000003ygVlGAI,Saturday,09:00:00,13:00:00,Normal
0OHak000003ygVhGAI,Monday,09:00:00,17:00:00,Normal
0OHak000003ygVhGAI,Tuesday,09:00:00,17:00:00,Normal
0OHak000003ygVhGAI,Wednesday,09:00:00,17:00:00,Normal
0OHak000003ygVhGAI,Thursday,09:00:00,17:00:00,Normal
0OHak000003ygVhGAI,Friday,09:00:00,17:00:00,Normal
0OHak000003ygVhGAI,Saturday,09:00:00,13:00:00,Normal
0OHak000003ygViGAI,Monday,09:00:00,17:00:00,Normal
0OHak000003ygViGAI,Tuesday,09:00:00,17:00:00,Normal
0OHak000003ygViGAI,Wednesday,09:00:00,17:00:00,Normal
0OHak000003ygViGAI,Thursday,09:00:00,17:00:00,Normal
0OHak000003ygViGAI,Friday,09:00:00,17:00:00,Normal
0OHak000003ygViGAI,Saturday,09:00:00,13:00:00,Normal
0OHak000003ygVjGAI,Monday,09:00:00,17:00:00,Normal
0OHak000003ygVjGAI,Tuesday,09:00:00,17:00:00,Normal
0OHak000003ygVjGAI,Wednesday,09:00:00,17:00:00,Normal
0OHak000003ygVjGAI,Thursday,09:00:00,17:00:00,Normal
0OHak000003ygVjGAI,Friday,09:00:00,17:00:00,Normal
0OHak000003ygVjGAI,Saturday,09:00:00,13:00:00,Normal
0OHak000003ygVnGAI,Monday,09:00:00,17:00:00,Normal
0OHak000003ygVnGAI,Tuesday,09:00:00,17:00:00,Normal
0OHak000003ygVnGAI,Wednesday,09:00:00,17:00:00,Normal
0OHak000003ygVnGAI,Thursday,09:00:00,17:00:00,Normal
0OHak000003ygVnGAI,Friday,09:00:00,17:00:00,Normal
0OHak000003ygVnGAI,Saturday,09:00:00,13:00:00,Normal
0OHak000003ygVmGAI,Monday,09:00:00,17:00:00,Normal
0OHak000003ygVmGAI,Tuesday,09:00:00,17:00:00,Normal
0OHak000003ygVmGAI,Wednesday,09:00:00,17:00:00,Normal
0OHak000003ygVmGAI,Thursday,09:00:00,17:00:00,Normal
0OHak000003ygVmGAI,Friday,09:00:00,17:00:00,Normal
0OHak000003ygVmGAI,Saturday,09:00:00,13:00:00,Normal
0OHak000003ygVoGAI,Monday,09:00:00,17:00:00,Normal
0OHak000003ygVoGAI,Tuesday,09:00:00,17:00:00,Normal
0OHak000003ygVoGAI,Wednesday,09:00:00,17:00:00,Normal
0OHak000003ygVoGAI,Thursday,09:00:00,17:00:00,Normal
0OHak000003ygVoGAI,Friday,09:00:00,17:00:00,Normal
0OHak000003ygVoGAI,Saturday,09:00:00,13:00:00,Normal
